ID,Name,Email,Bonus,Report,App,LT,TK
18424022,Nguyen Van A111,ngocmai8@gmail.com,6,1,5,2.3,1.04
18424005,Dang Van Thuong,dvthuong@gmail.com,0,0,0,4.5,2.03
18424018,Tran Van D,ngocmai4@gmail.com,5,2,7,2.5,2.13
18424016,Nguyen Van B,ngocmai2@gmail.com,7,6,6,3.5,2.58
18424014,Nguyen Ngoc Mai,ngocmai@gmail.com,1,3,5,6.0,2.7
18424017,Nguyen Thi C,ngocmai3@gmail.com,8,4,2,4.0,2.8
18424025,Tran Van D444,ngocmai11@gmail.com,4,2,2,6.8,3.06
18424015,Nguyen Van A,ngocmai1@gmail.com,4,6,6,5.5,3.48
18424027,Pham Thi 666,ngocmai13@gmail.com,6,4,6,5.6,3.52
18424019,Le Van E,ngocmai5@gmail.com,2,7,2,3.5,3.58
18424030,Nguyen Van B999,ngocmai16@gmail.com,2,2,8,5.8,3.61
18424023,Nguyen Van B222,ngocmai9@gmail.com,8,9,4,4.5,4.03
18424029,Nguyen Van A888,ngocmai15@gmail.com,7,3,2,9.5,4.28
18424020,Pham Thi F,ngocmai6@gmail.com,7,2,8,7.5,4.38
18424021,Nguyen Thi G,ngocmai7@gmail.com,1,7,2,6.5,4.93
18424028,Nguyen Thi G777,ngocmai14@gmail.com,1,1,8,8.9,5.0
18424026,Le Van E555,ngocmai12@gmail.com,5,5,9,6.9,5.11
18424024,Nguyen Thi C333,ngocmai10@gmail.com,2,7,7,5.4,5.43
18424013,Nguyen Ngoc Chau,nnchau@outlook.com,2,8,8,5.5,5.48
